,percent
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-18,0.0
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,0.0
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.0
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,0.0
2024-05-23,0.0
2024-05-24,0.0
2024-05-28,0.0
2024-05-29,0.0
2024-05-30,0.0
2024-05-31,0.0
2024-06-03,0.0
2024-06-04,0.0
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-10,0.0
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,0.0
2024-06-17,0.0
2024-06-18,0.0
2024-06-20,0.0
2024-06-21,0.0
2024-06-24,59.154929577464785
2024-06-25,56.53923541247485
2024-06-26,54.72837022132797
2024-06-27,56.13682092555332
2024-06-28,56.941649899396374
2024-07-01,52.31388329979879
2024-07-02,53.52112676056338
2024-07-03,53.118712273641854
2024-07-05,51.10663983903421
2024-07-08,50.70422535211267
2024-07-09,50.10060362173038
2024-07-10,54.32595573440644
2024-07-11,61.56941649899397
2024-07-12,65.59356136820925
2024-07-15,64.98993963782696
2024-07-16,72.63581488933602
2024-07-17,71.83098591549296
2024-07-18,65.99597585513078
2024-07-19,64.1851106639839
2024-07-22,67.40442655935614
2024-07-23,64.98993963782696
2024-07-24,59.95975855130785
2024-07-25,60.160965794768615
2024-07-26,65.99597585513078
2024-07-29,67.20321931589537
2024-07-30,68.2092555331992
2024-07-31,72.03219315895373
2024-08-01,64.38631790744466
2024-08-02,54.52716297786721
2024-08-05,45.07042253521127
2024-08-06,50.30181086519114
2024-08-07,46.68008048289739
2024-08-08,56.13682092555332
2024-08-09,57.14285714285714
2024-08-12,54.72837022132797
2024-08-13,59.758551307847085
2024-08-14,60.160965794768615
2024-08-15,63.78269617706237
2024-08-16,65.59356136820925
2024-08-19,68.81287726358148
2024-08-20,66.59959758551308
2024-08-21,68.00804828973843
2024-08-22,68.00804828973843
2024-08-23,71.83098591549296
2024-08-26,72.23340040241449
2024-08-27,72.03219315895373
2024-08-28,71.0261569416499
2024-08-29,71.42857142857143
2024-08-30,74.24547283702213
2024-09-03,70.02012072434609
2024-09-04,68.00804828973843
2024-09-05,64.7887323943662
2024-09-06,60.56338028169014
2024-09-09,64.7887323943662
2024-09-10,65.99597585513078
2024-09-11,67.6056338028169
2024-09-12,67.6056338028169
2024-09-13,72.03219315895373
2024-09-16,73.44064386317908
2024-09-17,75.65392354124748
2024-09-18,75.45271629778671
2024-09-19,80.08048289738431
2024-09-20,76.65995975855131
2024-09-23,78.87323943661971
2024-09-24,78.67203219315896
2024-09-25,76.25754527162978
2024-09-26,79.67806841046277
2024-09-27,81.69014084507043
2024-09-30,81.48893360160966
2024-10-01,78.06841046277665
2024-10-02,76.65995975855131
2024-10-03,74.64788732394366
2024-10-04,77.46478873239437
2024-10-07,73.44064386317908
2024-10-08,74.04426559356136
2024-10-09,76.45875251509054
2024-10-10,76.45875251509054
2024-10-11,78.26961770623743
2024-10-14,80.08048289738431
2024-10-15,79.87927565392354
2024-10-16,81.69014084507043
2024-10-17,81.08651911468813
2024-10-18,82.29376257545272
2024-10-21,78.67203219315896
2024-10-22,75.85513078470825
2024-10-23,73.03822937625755
2024-10-24,72.63581488933602
2024-10-25,70.22132796780684
2024-10-28,72.43460764587525
2024-10-29,71.22736418511066
2024-10-30,71.22736418511066
2024-10-31,66.19718309859155
2024-11-01,68.00804828973843
2024-11-04,68.81287726358148
2024-11-05,73.23943661971832
2024-11-06,74.24547283702213
2024-11-07,75.45271629778671
2024-11-08,74.64788732394366
